P8_ID;P8_MBA_A_Haushalt;P8_B4P_P_STUDENTEN
01844045;1264;2.85
01844050;711;2.2
01844055;383;1.38
01847005;584;0.95
01847010;535;1.12
01847015;355;1.83
01848005;476;2.08
01848010;375;1.58
01848015;203;1.72
01848020;107;3.34
01848025;163;1.11
01848030;134;1.24
01848035;222;1.79
01855005;177;1.72
01855010;227;2.1
01855015;118;2.04
01855020;198;2.15
01855025;233;2.24
01855030;658;2.3
01855035;472;2.82
01855040;841;2.41
01855045;869;2.13
01855050;589;1.69
01855055;384;1.45
01855060;257;1.01
01855065;296;2.61
01855070;314;0.64
01877005;144;1.16
01877010;415;2.95
01877015;803;3.27
01877020;236;2.53
01877025;225;5.34
01877030;567;1.89
01877035;375;3.33
01877040;274;4.23
01877045;544;1.39
01877050;193;3.01
01877055;797;3.75
01877065;173;1.18
01877070;174;1.54
01877075;282;2.79
01877080;263;1.99
01877085;790;1.4
01877095;140;1.93
01877100;155;1.29
01877110;152;0.87
01877115;576;1.69
01877125;768;1.18
01877130;574;2.19
01877135;155;0.91
01877140;150;1.83
01877145;41;0.96
01877150;63;0.77
01877155;40;0.32
01877160;21;0.38
01877165;169;3.44
01896005;306;2.03
01896010;462;1.32
01896015;616;2.39
01896020;532;1.38
01896025;495;1.29
01896030;596;1.59
01896035;1115;2.4
01896040;420;1.34
01896045;178;1.27
01896050;160;2.01
01896055;562;0.83
01900005;945;1.17
01900010;312;0.72
01900015;236;1.73
01900020;563;1.67
01900025;732;1.41
01900030;920;2.46
01900035;367;2.15
01900040;321;4.68
01904005;330;1.09
01904010;403;3.46
01904015;385;2.6
01904020;672;4.04
01904025;534;1.19
01904030;154;1.6
01904035;650;1.27
01904040;439;1.17
01904045;316;0.93
01906005;777;0.98
01906010;314;1.76
01906015;135;1.5
01909005;413;1.1
01909010;206;0.94
01909015;626;1.86
01909020;212;2.14
01909025;269;1.09
01917005;868;2.62
01917010;688;2.82
01917015;210;2.86
01917020;579;5.13
01917025;354;7.12
01917030;399;1.83
01917035;505;3.98
01917040;121;0.55
01917045;269;5.78
01917050;456;1.13
01917055;407;2.24
01917060;201;1.52
01917065;209;8.54
01917070;1282;4.09
01917075;392;4.43
01917080;169;2.4
01917085;321;1.5
01917090;232;1.89
01917095;314;1.42
01917100;281;0.58
01917105;239;0.76
01917110;151;0.99
01917115;161;2.45
01920010;608;1.53
01920015;133;1.94
01920020;140;2.35
01920025;148;1.21
01920030;648;1.63
01920035;620;1.09
01920045;152;0.95
01920050;287;1.05
01920055;150;0.68
01920060;172;1.63
01920065;142;0.85
01920070;329;1.74
01920075;169;0.72
01920080;188;1.54
01920085;128;1.34
01920090;137;1.09
01920100;101;0.57
01920105;387;2.49
01920115;179;2.82
01920125;188;1.23
01920140;171;1.3
01920165;319;1.08
01920170;414;1.31
01920175;96;0.56
01920180;56;3.42
01920185;110;1.58
01920190;30;1.02
01920195;81;0.93
01920200;98;1.43
01920205;88;1.56
01920210;58;1.38
01920215;104;2.26
01920220;136;1.33
01920225;107;1.51
01920230;149;2.4
01920235;83;5.29
01920240;248;2.18
01920245;17;1.56
01920250;52;1.31
01936005;418;2.28
01936010;186;2.01
01936015;317;2.32
01936020;389;1.71
01936025;395;2.11
01936030;826;2.23
01936035;636;1.78
01936040;229;1.43
01936045;192;1.16
01936050;289;1.61
01936055;103;3.42
01936060;114;1.54
01936070;789;1.9
01936075;127;0.57
01936085;179;2.77
01936095;67;1.75
01936100;144;1.89
01945005;284;1.47
01945010;203;1
01945015;260;1.08
01945025;473;1.07
01945030;290;0.74
01945035;274;0.75
01945040;306;0.8
01945045;655;1.53
01945050;613;1.45
01945055;214;1.09
01945060;209;0.89
01945070;332;2.22
01945075;96;6.79
01945080;170;0.79
01945085;41;0.6
01945090;358;0.87
01968005;456;1.06
01968010;489;4.77
01968015;365;2.95
01968020;585;2.19
01968025;316;2.95
01968030;358;3.63
01968035;445;1.9
01968040;763;3.06
01968045;452;3.05
01968050;442;4.39
01968055;311;4.69
01968060;725;4.3
01968065;448;3.55
01968070;223;3.54
01968075;100;1.97
01968080;629;5.39
01968085;295;4.28
01968090;564;5.12
01968095;262;1.38
01968100;268;3.14
01968105;496;5.19
01968110;571;2.12
01968115;178;2.49
01968120;211;1.57
01968125;512;1.44
01968130;428;1.33
01968135;719;2.15
01968140;189;3.06
01968145;416;3.97
01968150;166;3.04
01979005;655;1.29
01979010;428;0.94
01979015;566;0.81
01979020;524;1.29
01979025;424;1.15
01979030;266;0.56
01979035;725;1.27
01979040;635;2.03
01979045;487;0.75
01979050;439;1.61
01979055;221;0.67
01979060;539;1.61
01979065;587;2.55
01979070;564;6.05
01979075;334;4.69
01979080;341;5.42
01979085;714;4.09
01983005;308;2.91
01983010;109;1.75
01983015;233;1
01983020;316;1.02
01983025;401;0.94
01983030;489;3.58
01983035;243;1.43
01983040;105;1.19
01983045;1003;5.97
01983050;924;4.51
01983055;587;1.29
01987005;479;2.94
01987010;206;0.4
01987015;1458;2.58
01987020;497;1.12
01987025;446;1.69
01990005;169;0.63
01990010;284;1.54
01990015;491;2.11
01990020;183;1.1
01990025;349;1.75
01993005;958;4.03
01993010;253;0.57
01993015;206;0.94
01994005;566;2.44
